name	alternative-name	funding-programme	area	region	discipline	funded-2012-15	funding-2012-13	funding-2013-14	funding-2014-15	funding-total	grant-2015-16	grant-2016-17	grant-2107-18	grant-total	funding-source	cash-change-2014-15--2015-16	cash-change-2012-15--2015-18	real-change-2014-15--2015-16	real-change-2012-15--2015-18	notes	local-authority-name	website
Corby Cube Theatre Trust	The Core at Corby Cube	NPO	Midlands	East Midlands	Combined arts	Yes	14e4	140242.31298	140811.6653389824	421053.9783189824	140812	140812	140812	422436	GIA	2.3766569112221718E-6	3.2822909939841456E-3	-1.3804362271290876E-2	-4.4714492832098822E-2		Corby	www.thecorecorby.com
Corn Exchange (Newbury) Trust	Corn Exchange, New Greenham Arts & Space101	NPO	South East	South East	Combined arts	No	0	0	0	0	235e3	235e3	235e3	705e3	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	West Berkshire	www.cornexchangenew.com
Creative Kernow	ACT	NPO	South West	South West	Combined arts	Yes	211450	211815.636417	212675.0229362052	635940.6593532052	212675	212675	212675	638025	GIA	-1.0784625711276845E-7	3.2775709748055423E-3	-1.3806812471653974E-2	-4.4719014612888713E-2		Cornwall	www.krowji.org.uk
Counterpoint Arts Limited	Counterpoints Arts	NPO	London	London	Combined arts	No	0	0	0	0	8e4	8e4	8e4	24e4	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Hackney	www.counterpointsarts.org.uk
Crafts Council	n/a	NPO	London	London	Visual arts	Yes	2484641	2488941.685692	2503853.4211506816	7477436.106842682	2503853	2503853	2503853	7511559	GIA	-1.6820101288883593E-7	4.5634483089854834E-3	-1.3806871993109355E-2	-4.3481868058292385E-2		Islington	www.craftscouncil.org.uk
Craftspace	n/a	NPO	Midlands	West Midlands	Visual arts	Yes	197077	232147.932093	198219.5571013392	627444.4891943393	211553	211553	211553	634659	GIA	6.7266031130541401E-2	1.1498245549856415E-2	5.2530602692841578E-2	-3.6881945756695456E-2		Birmingham	http://www.craftspace.co.uk
Create	Create London	NPO	London	London	Combined arts	No	0	0	0	0	15e4	15e4	15e4	45e4	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	City of London	www.createlondon.org
Creative Arts East	n/a	NPO	South East	East	Combined arts	No	0	0	0	0	15e4	15e4	15e4	45e4	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	South Norfolk	www.creativeartseast.co.uk
Creativity Works for Everyone	Creativity Works	NPO	South West	South West	Combined arts	Yes	9e4	90155.77263	90521.78486077441	270677.55749077443	90522	90522	90522	271566	GIA	2.3766569110614151E-6	3.2822909939840528E-3	-1.3804362271290898E-2	-4.4714492832098877E-2		Bath and North East Somerset	www.creativityworksforeveryone.co.uk
Crescent Arts	Crescent Arts Workshop	NPO	North	Yorkshire	Visual arts	Yes	7e4	69915.5226	69788.7083739888	209704.2309739888	69789	69789	69789	209367	GIA	4.1786990759776146E-6	-1.6081267050383444E-3	-1.3802585109392697E-2	-4.9429154794357173E-2		Scarborough	www.crescentarts.co.uk
Crying Out Loud	COL	NPO	London	London	Combined arts	Yes	21e4	210363.46947	211217.4980084736	631580.9674784737	211217	211217	211217	633651	LOT	-2.3577993220129841E-6	3.2775410091769154E-3	-1.3809031360278173E-2	-4.4719015578773703E-2		Tower Hamlets	www.cryingoutloud.org
Cubitt Artists Ltd	n/a	NPO	London	London	Visual arts	Yes	82807	82950.752808	83287.823204334	249045.57601233403	112095	112095	112095	336285	GIA	0.3458750113445993	0.35029501581407502	0.32729291059625187	0.28569730629257267		Islington	http://cubittartists.org.uk
